Timestamp	Title	Description	Image Link	Source Reliability	Information Reliability	Topics	Source(s)	Source Link	Reporting Analyst	Column 10	Email Groups	Event Severity Metric	Location of Incident	Profile Image
Sun Dec 08 2024 23:24:30 GMT-0800 (Pacific Standard Time)	Kanlaon Volcano Erupts Near Bacolod, Philippines	After several days of tremors and smoke plumes, the Kanlaon Volcano on the island of Negros has erupted. Images have begun circulating of what appears to be a pyroclastic flow in the direction of nearby settlements and farmland. Travelers in the area are advised to take caution and follow any evacuation directives from local government agencies: 'Residents in nearby areas are urged to stay alert and follow safety instructions.' 	https://i.ibb.co/RcybwT4/Kanlaon-Volcano.png	Reliable	Confirmed	Weather	PHIVOLCS-DOST	https://x.com/phivolcs_dost	Tanner Porter		Global Intelligence, Asset Security	2 | 🟠 High-Risk Incident	10.411381513352636, 123.13095073899802	/profileimages/Tanner_Porter_profile.jpg
Sun Dec 08 2024 23:45:36 GMT-0800 (Pacific Standard Time)	Kanlaon Volcano Alert Raised to Level 3: Likely Threat To Immediate Vicinity	The Philippine Institute of Volcanology and Seismology has raised the Alert Level for the Kanlaon Volcano from 2, to 3, in face of a massive volcanic plume rising over 3,000 meters from the vent, and with 'pyroclastic currents descending the slopes on the Southeastern direction.' All areas within a 6km (4mi) radius of the summit are urged to evacuate, with all other areas in the vicinity directed to prepare for evacuation should the situation worsen.	https://vmepd.phivolcs.dost.gov.ph/img/apps/kvo_header.png	Reliable	Confirmed	Weather	PHIVOLCS-DOST	https://www.phivolcs.dost.gov.ph/index.php/volcano-advisory-menu/28593-kanlaon-volcano-raising-alert-level-2-to-3	Tanner Porter		Global Intelligence, Asset Security	2 | 🟠 High-Risk Incident	10.411117343543927, 123.13222295887927	/profileimages/Tanner_Porter_profile.jpg
Mon Dec 09 2024 22:50:59 GMT-0800 (Pacific Standard Time)	Mass Evacuation of Villages Near Kanlaon Volcano	Roughly 87,000 people are being evacuated in the central region around the Kanlaon volcano following yesterday's eruption that saw pyroclastic flows hurl down the Western slopes of the mountain. Volcanic ash from the eruption has been reported over 200 kilometers away, across seawaters West of the volcano. Several flights have also been canceled, with many others diverted due to the eruption. Mass evacuations are underway along towns and villages near the Western and Southern slopes of the volcano. Philippine scientists are currently monitoring the air quality in the region to ensure that the risk of contamination from toxic volcanic gases remain low. There is currently a limited projection of impact to assets and personnel in the area.	https://dims.apnews.com/dims4/default/58da5e1/2147483647/strip/true/crop/3996x2664+0+0/resize/1440x960!/format/webp/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2Fd4%2Fd4%2Faa08cd44041146a2841f0d4f5eee%2Fc2d83997161546388d2274771179dff5	Reliable	Confirmed	Weather	AP News	https://apnews.com/article/philippines-kanlaon-volcano-eruption-ceb5c089dd807d39d96b94536911abd8	Tanner Porter		Global Intelligence, Asset Security	3 | 🟡 Moderate-Risk Incident	10.411820491818748, 123.13236651912577	/profileimages/Tanner_Porter_profile.jpg
Tue Dec 10 2024 00:12:36 GMT-0800 (Pacific Standard Time)	Franklin Fire in Malibu, California Prompts Mandatory Evacuations in Malibu	The Los Angeles County Fire Department has placed mandatory evacuations in place across all of Malibu Beach, with evacuation warnings issued for all of Malibu. The fire has reached over 100 acres and is spreading quickly, with wind pushing it from the mountains into coastal areas. The fire currently is at zero percent containment. The fire was initially reported 1 hours ago, and mapped at 1 acre. Quickly expanding to its present size.	https://i.ibb.co/4pTH6NM/image.png	Reliable	Confirmed	Weather	L.A. County Fire Department	https://x.com/LACoFDPIO/status/1866390925037146570	Tanner Porter		Asset Security	2 | 🟠 High-Risk Incident	34.05522135976452, -118.68640979781621	/profileimages/Tanner_Porter_profile.jpg
Tue Dec 10 2024 02:31:24 GMT-0800 (Pacific Standard Time)	Franklin Fire, Impacting Malibu, CA Now Mapped at 853.4 Acres	The Franklin Fire, first reported a little over 3 hours ago has rapidly expanded to 853.4 acres, and is still directly threatening Malibu and Malibu Beach, and has jumped the Pacific Coast Highway. Pepperdine University has also issued a 'shelter-in-place' order, meaning that it is too late to evacuate, and residents need to take shelter immediately at the Tyler Campus Center and Payson Library. Power has also been cut out in the area. According to L.A. Fire, the entire Pacific Coast Highway in the impacted areas has been closed to all travelers aside from Evacuees. An Evacuation Shelter has been established at Palisades Recreation Center (851 Alma Real Drive, Pacific Palisades, CA 90272). 	https://i.ibb.co/4WZjhm9/Capture.png	Reliable	Confirmed	Weather	Watch Duty	https://share.watchduty.org/i/39411?ts=1733854078620	Tanner Porter		Asset Security	2 | 🟠 High-Risk Incident	34.061866950666925, -118.6981332072942	/profileimages/Tanner_Porter_profile.jpg
Tue Dec 10 2024 04:49:45 GMT-0800 (Pacific Standard Time)	Suspect in Health Care C.E.O.’s Killing Charged With Murder	The suspect, Luigi Mangione (26), was charged by New York prosecutors in Manhattan. He was arrested in Altoona, PA on Monday after being spotted at a McDonalds.	https://static01.nyt.com/images/2024/12/09/multimedia/09uhc-killing-header630p/09uhc-killing-live-perpwalk-jftl-superJumbo.jpg?quality=75&auto=webp	Reliable	Confirmed	General	The New York Times	https://www.nytimes.com/live/2024/12/09/nyregion/unitedhealthcare-ceo-shooting-news	Jordy Magallanes		Global Intelligence	4 | 🟢 Low-Risk Incident	40.51382024701408, -78.40157566600654	/profileimages/Jordy_Magallanes_profile.jpg
Wed Dec 11 2024 03:58:05 GMT-0800 (Pacific Standard Time)	PROTEST: 11 Dec 2024, 09:00 (local) | Brooklyn 	Multiple protest groups in New York City plan to protest at the Brooklyn Naval Yard, just across the Brooklyn and Manhattan Bridges. There are likely to be at least several hundred participants in the event given widespread social media dissemination. There is a possibility that the demonstration could impact traffic near the bridges should the protest march into Manhattan.	https://i.ibb.co/jvgCskF/image.png	Reliable	Confirmed	Protests	WolPalestine (X)	https://x.com/WOLPalestine/status/1866667847004422460/photo/1	Tanner Porter		Asset Security, New York City	3 | 🟡 Moderate-Risk Incident	40.69817190000001, -73.9714130297378	/profileimages/Tanner_Porter_profile.jpg
Wed Dec 11 2024 04:16:42 GMT-0800 (Pacific Standard Time)	Supreme Leader of Iran Pits Fall of Assad on Israel and the U.S.	In a public address, Ali Khamenei, Iran's Supreme Leader, placed Israel, the U.S., and Turkey as the primary 'conspirators' behind the rebel success in overthrowing the Assad regime in Syria. Khamenei stated that the outcome in Syria will 'not remain as it is' and that the 'Syrian youth' will inevitable turn on Israel and the United States. He subsequently announced that Iran was 'ready to act and help Syria.' likely in reference to combating both Israeli and American influence in the country.	https://i.ibb.co/M7spHYS/image.png	Usually Reliable	Confirmed	MENA Regional Tensions	Arya (X)	https://x.com/AryJeay/status/1866776353661505806	Tanner Porter		***Test Group***	4 | 🟢 Low-Risk Incident	35.7565564845338, 51.316265928828926	/profileimages/Tanner_Porter_profile.jpg
Wed Dec 11 2024 04:43:26 GMT-0800 (Pacific Standard Time)	Israel Has Arrested Nearly 30 Iranian Spies Across Nine Cells	Israel has uncovered nine covert Iranian cells throughout the country, and has arrested nearly 30 individuals, mostly Jewish citizens, who have been spying for Iran. The report by Reuters highlights growing concerns throughout Israel that Iran may be deeply embedded in the country. Iran has reportedly found its recruits through social media platforms and has exchanged money for information on sensitive activities of the military, and specific individuals. Some of the activities have included sabotage, spreading propaganda, and even as far as plans to assassinate public figures.	https://www.reuters.com/resizer/v2/ZVPALPT7YZPILDWCJXUMHJCBQM.jpg?auth=6067f782e8d584d610f7c5238730972a98c8e9abb22781f38d6e5fd67cd505c9&width=960&quality=80	Reliable	Confirmed	MENA Regional Tensions	Reuters	https://www.reuters.com/world/middle-east/israeli-jews-who-spied-iran-biggest-infiltration-decades-2024-12-11/	Tanner Porter		Conflict Zones - Middle East	3 | 🟡 Moderate-Risk Incident	32.08783021942281, 34.77951816751024	/profileimages/Tanner_Porter_profile.jpg
Wed Dec 11 2024 05:09:40 GMT-0800 (Pacific Standard Time)	Franklin Fire in Malibu, CA Now Mapped At Nearly 3,900 Acres, 0% Containment	The Franklin Fire in Malibu, CA which started nearly 30 hours ago has continued to rapidly expand, now encompassing a total acreage of 3,893.1. Helicopters have repeatedly been assigned to tackle the fire as the entire area around Malibu Beach continues to be threatened. VIIRS and MODIS monitoring has placed most of the fires hotspots to the West and Northwest of Malibu Beach, with some spread in the Northeast. Malibu itself appears to have staved off the worst of the fire damage, with Pepperdine University now allowing students to evacuate, and lifting its shelter-in-place order. Power outages are still being reported in the area. The Malibu Beach RV Park has been the site of the most recent evacuation efforts by law enforcement. No immediate impact is anticipated to News Corp assets at this time, with limited impact likely as the fire continues to expand.	https://i.ibb.co/sV4znYy/franklinfire.png	Reliable	Confirmed	Weather	Watch Duty	https://share.watchduty.org/i/39411?ts=1733949283969	Tanner Porter		Asset Security	3 | 🟡 Moderate-Risk Incident	34.06553863061111, -118.69747254034714	/profileimages/Tanner_Porter_profile.jpg
Wed Dec 11 2024 23:12:00 GMT-0800 (Pacific Standard Time)	Path to a Ceasefire in Gaza Progresses as Hamas Concedes Demands	Hamas has reportedly ceded to Israel's demands that the IDF remain in Gaza temporarily once fighting ends, and has also handed over a list of hostages who would be released upon the signing of a ceasefire deal. The proposed plan was largely orchestrated by Egypt, with backing from the United States. While the deal has yet to be finalized, the concession marks a major step towards an actualized peace deal in Gaza. Such a deal would likely allow Israel to increase its focus on adversaries in the West Bank, Yemen, Iraq, and ultimately Iran.	https://images.wsj.net/im-41217652?width=700&size=1.5005861664712778	Reliable	Confirmed	Israel-Hamas Conflict	Wall Street Journal	https://www.wsj.com/world/middle-east/israel-gaza-palestine-ceasefire-hostage-negotiations-d599e1d1?st=c1nQTb	Tanner Porter		***Test Group***	3 | 🟡 Moderate-Risk Incident	31.50768814760386, 34.46493486458925	/profileimages/Tanner_Porter_profile.jpg
Thu Dec 12 2024 18:56:17 GMT-0800 (Pacific Standard Time)	The US Announced a New Arms Aid Package for Ukraine worth $500 million	US Secretary of State, Antony Blinken confirmed that the Biden administration announced another package of weapons aid for Ukraine on 12 Dec 2024 that is valued at $500 million. This specific package will include ammunition for High Mobility Artillery Rocket Systems and High speed Anti-radiation missiles. The Biden administration assured Ukraine that they would continue to provide additional packages for Ukraine until the end of the administration as Trump has already criticized Ukraine using US made weapons to attack Russia. The US claimed 10 days ago that they send Ukraine $725 million worth of weapons to help in the conflict with Russia. 	https://www.reuters.com/resizer/v2/KUKKNOKXSNMSPOV2TGPJ6HE6LY.jpg?auth=4f17e9a3b435d49dae820aebc976d3af69f31046ab36c41d3c1d3e8b3ec83add&width=640&quality=80	Reliable	Confirmed	Russia-Ukraine Conflict	Reuters, VOA News 	https://www.reuters.com/world/white-house-announces-new-arms-aid-package-ukraine-2024-12-12/	Diana Galindo		Conflict Zones - Ukraine	4 | 🟢 Low-Risk Incident	50.460769498778376, 30.597514138582692	/profileimages/Diana_Galindo_profile.jpg
